placeDcid,placeName,Date:Count_Person,Value:Count_Person,Source:Count_Person,Date:Median_Income_Person,Value:Median_Income_Person,Source:Median_Income_Person
zip/10075,10075,2022,23920,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,93718,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10103,10103,2022,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10110,10110,2022,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2012,63750,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10111,10111,2022,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10112,10112,2022,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10115,10115,2022,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10119,10119,2022,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10128,10128,2022,56695,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,84696,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10152,10152,2022,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10153,10153,2022,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10154,10154,2022,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10162,10162,2022,1523,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2021,98900,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10165,10165,2022,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10167,10167,2022,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10168,10168,2022,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10169,10169,2022,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10170,10170,2022,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10171,10171,2022,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10172,10172,2022,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10173,10173,2022,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10174,10174,2022,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10177,10177,2022,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10199,10199,2022,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10271,10271,2022,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10278,10278,2022,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10279,10279,2022,161,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,216736,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10280,10280,2022,8843,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,115831,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10282,10282,2022,6450,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,157470,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10301,10301,2022,40331,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,42945,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10302,10302,2022,18567,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,40130,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10303,10303,2022,27083,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,37463,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10304,10304,2022,44864,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,34997,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10305,10305,2022,42211,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,42115,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10306,10306,2022,56232,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,45760,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10307,10307,2022,14755,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,58464,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10308,10308,2022,30075,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,56250,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10309,10309,2022,34740,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,47451,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10310,10310,2022,26239,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,47723,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10311,10311,2022,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10312,10312,2022,63473,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,51145,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10314,10314,2022,94355,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,45854,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10451,10451,2022,51311,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,23475,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10452,10452,2022,78624,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,21757,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10453,10453,2022,80385,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,22417,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10454,10454,2022,41073,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,19081,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10455,10455,2022,44380,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,24583,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10456,10456,2022,88575,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,20124,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10457,10457,2022,79817,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,21457,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
